name,price,rating,reviews,sold,category,value_score,price_tier,is_overpriced,category_encoded,tier_encoded,pca_1,pca_2
Infinix Note 60 Pro - AMOLED LCD - 6.78 Inches Display - 8GB RAM 256GB ROM - 13MP Front Camera - 50MP + 8MP Rear Camera - Snapdragon 7s Gen 4 (5G) Chipset - Dual SIM - 6500mAh Battery,109499.0,4.4,0,0,mobiles,0.4018301537000338,Premium,1,2,2,1.204471252609058,-0.0911468126826358
Google Pixel 7 Pro – 6.7″ QHD+ 120Hz | dual sim approved | Tensor G2 | 50MP Triple Camera |  12GB RAM | 128 and 256GB Storage  5000mAh with Fast Wired & Wireless Charging | just like new condition without box,89999.0,4.4,0,0,mobiles,0.4888943210480117,Premium,0,2,2,1.0410642465549695,-0.06359728473924979
vivo Y31d - 7200 mAh BlueVolt Battery - Snapdragon 6s Gen 2 4G - IP68 & 69 Dust and Waterproof - OriginOS 6.0 New System,57999.0,4.4,0,0,mobiles,0.758633769547751,Mid-Range,0,2,1,0.7729091596969784,-0.01838780298600094
Tecno Camon 40 Pro 8GB+256GB PTA APPROVED,64999.0,5.0,127,42,mobiles,0.7692426037323651,Mid-Range,0,2,1,1.3690758338278717,-6.93648721618537e-05
Google Pixel 7A | official PTA approved | 8GB Ram | 128GB Storage | just like new condition without box,66999.0,5.0,4,13,mobiles,0.7462797952208242,Mid-Range,0,2,1,1.6045572971168212,0.07522622195436135
Infinix Hot 60 Pro Plus 8GB+256GB PTA APPROVED,60999.0,4.0,16,194,mobiles,0.6557484548927032,Mid-Range,0,2,1,-0.3613969832248218,0.05252400545393404
"Samsung Galaxy S23 Ultra | 12GB & 8GB RAM 512GB & 256GB storage, S Pen Precision, and Immersive Dynamic AMOLED 2X Display.",244999.0,5.0,2,0,mobiles,0.2040824656427169,Premium,0,2,2,3.139037029478119,-0.18495850219492177
"Infinix Note 60 Pro 5G 8GB + 8GB Ram 256GB Rom || 6.78 Inches AMOLED 144Hz 1.5K Display || IP64 , Snapdragon 7s Gen 4 || 6500 mAh Fast Charging 90W || Wireless 30W,",114999.0,4.4,0,0,mobiles,0.3826120227132409,Premium,1,2,2,1.250560408162775,-0.09891719235897543
realme 13+ 5G | 12GB RAM + 256GB ROM,89999.0,4.0,15,56,mobiles,0.4444493827709197,Premium,0,2,2,0.31566044297759577,-0.09752280343529723
"Vivo Y20s Mobile Phone | 8GB RAM 256GB ROM(For User 4/128) | 6.51"" HD+ Display | 5000mAh Battery | Vivo Mobile Phone | Triple Camera | Dual Sim Approved | With Charger & Handsfree",26007.0,4.4,0,0,mobiles,1.691852193640174,Budget,0,2,0,0.5048211116107019,0.02681037639680958
OPPO Reno13 5G | 12GB RAM + 256GB ROM - Refurbished (Open Box),97999.0,4.4,0,0,mobiles,0.4489841733078909,Premium,1,2,2,1.1081030182694673,-0.074899655177562
Vivo S1 - 6.38 Inches FHD+ Super AMOLED Display - Dual Sim Official Approved - 8GB RAM + 256GB ROM - Phone and Box Only - Skyline Blue,24999.0,4.0,6,26,mobiles,1.6000640025601025,Budget,0,2,0,-0.1255524224156148,-0.022176010331599424
Vivo Y19 - 6.53 Inches IPS LCD Display - 8GB RAM - 256GB Storage - Official PTA Approved - Fingerprint Sensor - Helio P65 Processor - (Phone and Box. No Charger and No Accessories Included - Mix Color),20999.0,3.5,11,29,mobiles,1.6667460355255013,Budget,0,2,0,-0.841321686723768,-0.10097351842130871
itel Super 26 Ultra - Curved AMOLED LCD - 6.78 Inches Display - 8GB RAM 256GB ROM - 32MP Front Camera - 50MP Rear Camera - Unisoc T7300 Chipset - Dual SIM - 6000mAh Battery,50499.0,4.4,0,0,mobiles,0.8713043822649954,Mid-Range,0,2,1,0.7100603112146369,-0.00779183070008325
Vivo Y19 - 6.53 Inches IPS LCD Display - 8GB RAM - 256GB Storage - Official PTA Approved - Fingerprint Sensor - Helio P80 Processor - (Phone and Box. No Charger and No Accessories Included - Mix Color),20999.0,4.0,6,15,mobiles,1.904852612029144,Budget,0,2,0,-0.12455704153000806,-0.02528485915138814
Realme C85 Pro - AMOLED LCD - 6.8 Inches Display -  8GB RAM 128GB/256GB ROM - 8MP Front Camera - 50MP Rear Camera -  Dual SIM - 7000mAh Battery,62999.0,4.4,0,0,mobiles,0.698423784504516,Mid-Range,0,2,1,0.8148083920185395,-0.025451784509946073
"Oppo Reno2 Z - 6.53 Inches Full HD+ AMOLED Display - 8GB RAM - 256GB ROM (128GB Usable) - 16MP Motorize Popup Camera - Dual Sim PTA Approved - Phone with Box Only, Accessories Not Included) - Multi Color",31999.0,5.0,3,16,mobiles,1.5625488296509265,Mid-Range,0,2,1,1.3028879940811982,0.12788608561628412
"Imported Original Vivo Y66 Mobile | 100% INSPECTED | 4GB RAM | 64GB ROM(STORAGE) | 2930mAh Battery | Fresh Kit | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 8.1 | Just Like New Condition | With Box, Charger, Cable & FREE Handsfree",10999.0,4.5,4,23,mobiles,4.091281025547777,Budget,0,2,0,0.4362642812812139,0.0795831528387103
Google Pixel 8 Pro | 12GB Ram | 128GB/256GB storage | Official PTA approved | Without box,144999.0,4.4,0,0,mobiles,0.3034503686232319,Premium,1,2,2,1.5019558020921415,-0.1413010815026462
"Best Imported Original Vivo Y75 Mobile | 100% INSPECTED | 6GB RAM | 128GB ROM(STORAGE) |Fingerprint| 3360mAh Battery | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 8.1 | Just Like New Condition | With Box, Charger, Cable & FREE Handsfree",10999.0,4.4,0,0,mobiles,4.000363669424494,Budget,0,2,0,0.37905637587430413,0.0480136233390833
"Imported Original Vivo Y75 Mobile | 100% INSPECTED | 6GB RAM | 128GB ROM(STORAGE) | Fingerprint | 3360mAh Battery | Dual Sim PTA Approved | BEST FOR ADULT AND KIDS BOTH | Android 8.1 | Just Like New Condition | With Box, Charger, Cable & FREE Handsfree",11499.0,5.0,2,12,mobiles,4.348204191668841,Budget,0,2,0,1.1446904072508284,0.1544858357430738
"Vivo Y20s (G) - 6.51 HD+ Display - Dual Sim Official PTA Approved - 8GB RAM - 256GB ROM (128GB Usable, 128GB System Reserved) - 13/2/2 + 8MP Camera (Phone with Box only, No Charger No Accessories Included - Multi Color)",23999.0,5.0,2,10,mobiles,2.083420142505937,Budget,0,2,0,1.255713900189796,0.13523314847158466
Realme Note 70 - 6.74 Inches Display - 6GB RAM 128GB ROM - 13MP Front Camera - 5MP Rear Camera - Dual SIM - 6300mAh Battery,38899.0,5.0,2,5,mobiles,1.2853800868916938,Mid-Range,0,2,1,1.3962621428457096,0.11020064987616232
Motorola | Moto G Stylus 5G 2023 | 128GB Storage | 4GB RAM | Qualcomm SM6450 Snapdragon 6 Gen 1 | 5000 mAh Battery | 50MP Camera | Non PTA Approved | SIM Lock | Mobile Phone,21000.0,4.4,0,0,mobiles,2.095238095238096,Budget,0,2,0,0.4628632203638906,0.03388424749488825
Infinix Smart 10 4GB+64GB - PTA APPROVED,27200.0,5.0,8,709,mobiles,1.838235294117647,Budget,0,2,0,-0.9169494009904497,0.6824337755271537
Samsung Galaxy A17 6GB + 128GB PTA APPROVED,51899.0,4.0,21,667,mobiles,0.7707277596870845,Mid-Range,0,2,1,-1.9269807630823632,0.43794745149280484
Infinix Smart 10 Plus 4GB+128GB - PTA APPROVED,30299.0,4.0,12,226,mobiles,1.320175583352586,Mid-Range,0,2,1,-0.7149110981686353,0.1246721586044478
"Infinix Note 60 Pro 5G 8GB Ram 256GB Rom , 6.78 Inches AMOLED 144Hz 1.5K Display , IP64 , Snapdragon 7s Gen 4 , 6500 mAh Fast Charging 90W , Wireless 30W,",114999.0,4.4,0,0,mobiles,0.3826120227132409,Premium,1,2,2,1.250560408162775,-0.09891719235897543
